Timestamp,Gender?,Age?,Name of the company you are currently working on (if you want to disclose),For how many years have you coded professionally?,What is your current role?,Which of the following software development methodologies do you follow?,Which of the followings do you use for requirements gathering?,"On which software development activities, do you spend most of the time? ",Which of the following technologies do you have experience working in?,What is the primary operating system you are developing on?,Which programming languages are you using?,Which frameworks are you using?,Which IDE are you using?,What types of software testing practices do you use?,What is the level of automated testing in your projects?,Which tools do you use for testing and quality assurance?,Which tools do you use for continous deployment?,Which version control tool do you use?,What are your expectations from the manager?,Are you involved in any R&D projects?,How do you ensure scalability of your products?,How do you maintain performance of your products?,How do you ensure security of your products?,What are your expectations from the employees?,What are your expectations from the potential candidates?,What are your expectations from the universities?,What are your expectations from the Government?,What kind of training facilities do you provide for the employees ?
2019/01/17 2:49:50 PM GMT+6,Male,34,InfoSapex,5 to 10,Technical Project Manager,"Prototyping, Rapid Development, XP etc.","Meeting with Customers, SCRUM Meeting",Requirement Analysis;Program Design;Implementation;Testing;Maintenance,Web;Mobile,Linux,"Python;JavaScript;PHP;Swift, Objective-C",Django;Laravel,PyCharm;PhpStorm,User acceptance testing;GUI testing;Functional testing,4,Selenium,AWS codeDeploy,Git,,Yes,"We somewhat depend on the language, platform and framework. Which is why we chose django python for most of our projects. Additionally we keep provision for future improvements and scalability.",Right now there isn't any performance metrics set except Load Testing.,"We convert the codes to binary. Since we use python, it is the most convenient and economical solution for us.","I expect proper use of resource (time, materials etc.) and common sense. Its all that matters.","Well, while there are some who performs better than others in some cases but everyone must be treated the same way. Grooming is very important for increased productivity.","Some of the Universities have updated/changed their curriculum accordingly to the market demand and available technology. Hopefully, the adoption rate will be faster.","More patronage is expected from the Government. In developed countries, Government plays the most important role to make sure that the Educational Institutes are doing what they are supposed to do.",We groom our employees and they are given opportunities to learn from Senior Experts. Plus we purchase and provide materials that is effective and needed.
2019/01/17 6:25:13 PM GMT+6,Male,,,2 to 5,Developer,Agile;Pair Programming;Scrum,Use Case;GUI prototype;Grooming seasons,Requirement Analysis;Program Design;Implementation;Operation;Maintenance,Web,Windows;Ubuntu,JavaScript,,VS Code,,5,,AWS codeDeploy,Git,,yes,,,,,,,,
2019/01/25 10:26:28 PM GMT+6,Male,,,less than 2,Developer,Agile,Plain Text,Implementation,Web;Mobile,Windows,Java,Spring boot,Eclipse,,5,,,Git,,,,,,,,,,
2019/01/25 10:39:49 PM GMT+6,Male,29,Wipro Limited,2 to 5,Developer,Agile,Plain Text;Use Case;GUI prototype,Implementation,Web,Windows,Java,Spring boot,IntelliJ,GUI testing,5,,,Git,,No,,,,,,,,
2019/01/25 10:42:08 PM GMT+6,Male,25,WOADEC,less than 2,Developer,"nothing. Mostly, CTO's way of working is all in all.",Plain Text,Maintenance,Web;Mobile,Windows;Ubuntu,Java;JavaScript,,IntelliJ,Performance testing,1,,,,"They should be graduated from any computer related course. I have been encounter non-tech people as manager. It's really tough to cooperate with a non-tech or non-CSE background people in software development. Whereas, large amount of EEE people took position in the Head of development in our IT industry. ",Yes,,,,,,,,
2019/01/25 10:43:40 PM GMT+6,Male,26,,2 to 5,Project manager,Scrum,Grooming seasons,Implementation,Web,Windows;Ubuntu,Java;JavaScript;C#,Spring boot;ASP. NET,Visual Studio;IntelliJ;Eclipse,Functional testing,4,,,Git,Should be well organized,Yes,During implementation trying to follow best practices.,Design optimally,Try to implement best practices.,Should R&D more before starting any task.,Should be passionate,Update curriculum. Should give more importance on software engineering.,Nothing,Problem solving
2019/01/25 11:12:09 PM GMT+6,Male,28,,less than 2,Tester,Agile,GUI prototype,Requirement Analysis,Desktop,Windows,C#,ASP. NET;mvc,Visual Studio,Performance testing,4,,,Git,,,,,,,,,,
2019/01/26 4:59:22 AM GMT+6,Male,33,,5 to 10,Developer,Agile;Scrum,Grooming seasons;Story board,Requirement Analysis;Program Design;Implementation;Testing;Documentation,Web;Desktop,Windows;Ubuntu,Java;JavaScript;C#;PHP,"Spring boot;ASP. NET;Laravel;Spring MVC, YII, CI,",Visual Studio;IntelliJ;NetBeans;Eclipse,Unit testing;GUI testing;Functional testing,2,"XUnit ( eg, JUnit, NUnit );Selenium",AWS codeDeploy;Docker,Git;BitBucket;Mercurial;TFS,"Co-Operative, Well Behave, Not Inherited By Others",Yes,,"Load Test, Response Time, Code Quality","OAuth 2.0, JWT, Token Base Authentication, CORS Filter, XSRF",cooperative,,"Focus On Basic, Understand Market demand Tech, Force Student for Research, Career Counseling","Just stop spend money, such non technical interpreter ",
2019/01/26 9:37:09 AM GMT+6,Male,35,Southtech Limited,5 to 10,Developer,Waterfall;Scrum,Plain Text;Use Case;GUI prototype,Testing;Documentation;Maintenance;Application Framework Development & Fixing,Web;Desktop,Windows;Linux,Java,Oracle Java EE,IntelliJ;NetBeans;Eclipse,Functional testing,5,JenKins,ansible,svn,he will assign expertise wise task for different member of project,yes,"DB level index, Load balance , clustering of app server ",Load test,"apache shiro , java ee secuirty - keyclock, HDiv, ",,maximum case we can not expect that . it will very limited case.,give me 10  fresher programmer from every university  within a year.,"1.online Free training center for easy learning it from Advance level (industry level) , Not basic level .",we can not training our  employee properly   bz trainer has no enough knowledge  about working procedure.
2019/01/26 4:52:13 PM GMT+6,Male,23,n/a,less than 2,Developer,Agile,Use Case,Implementation,Desktop;Embedded /IOT,Windows,Java,Spring boot,NetBeans,Unit testing,3,,AWS codeDeploy,Git,good behavior,no,by using perfect implementation,using kpi,using encryption,,,,,
2019/01/26 6:37:49 PM GMT+6,Male,32,Samsung R&D Institute Bangladesh,5 to 10,Developer,Pair Programming;Scrum,GUI prototype,Implementation,Mobile;Embedded /IOT,MacOS;Ubuntu,"Java;C/C++;Python;Swift, Objective C ",Spring boot;Flask,Visual Studio;IntelliJ;Eclipse,User acceptance testing,2,"JenKins;XUnit ( eg, JUnit, NUnit )",,Git,,Yes,,,,,,,,
2019/01/27 10:56:14 AM GMT+6,Male,32,"Backpack Technologies, Inc.",5 to 10,Developer,Agile,Plain Text;Use Case;GUI prototype,Project Planning;Program Design;Implementation,Web;Mobile;Desktop,MacOS,Java;JavaScript;PHP,Swift;Laravel;React JS,IntelliJ,Unit testing,5,,CircleCI,Git,,,,,,,,,,
2019/01/28 7:52:12 PM GMT+6,Male,30,CPTU,2 to 5,Developer,Pair Programming,Plain Text,Program Design;Implementation,Web,Ubuntu,Java,Spring boot,IntelliJ;Eclipse,Unit testing,1,Selenium,AWS codeDeploy,Git,To get the perfect design pattern for  specific projects,Yes,I use Microservice,See load balancing,Both server & application level .,Do task at a time,,,,
2019/01/29 10:40:57 PM GMT+6,Male,25,BJIT,less than 2,Developer,Scrum,Use Case,Testing;Documentation,Web,,Java;JavaScript,struts,Eclipse,Functional testing,5,manual,,cvs,I do not know,not exactly,I do not know,I do not know,highly secured,"be honest, learn something, teach something",teach something,be fair with the students. all the students are not idiot and all the students are not superman,get yourself out of corruption. and let yourself put in liability,I am employee. I do not get any training. But there should be ...
2019/03/10 10:17:57 PM GMT+6,Male,32,,5 to 10,Project manager,Agile,Use Case;GUI prototype;Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design,Web;Mobile;Desktop,Windows,JavaScript;C#;Scala,ASP. NET;Angular,Visual Studio;IntelliJ,Unit testing;User acceptance testing;Functional testing,4,"XUnit ( eg, JUnit, NUnit );Selenium",TeamCity;Octopus;Jenkins,Git,,,,,,,,,,
2019/03/12 1:41:33 PM GMT+6,Male,26,,2 to 5,"Developer;Project manager;High level management ( CEO, CIO, CFO )",Agile;Scrum,Plain Text;Use Case;GUI prototype;Story board,Project Planning;Implementation;Solution Architecting,Web;Mobile;Cloud Native,MacOS;Linux;Ubuntu,Java;Python;JavaScript,"Express, Meteor","VS Code, Sublime ",Unit testing;User acceptance testing;Load testing,2,"XUnit ( eg, JUnit, NUnit );Jest, Mocha, JMeter ",AWS codeDeploy;Custom shell scripts,Git,,Yes,Yes,Yes,"Following industry standard and best practices, also we arrange hacking session internally to break own security vulnerabilities ","Punctuality, Professionalism and common sense more often","Good problem solving skills, learning and enthusiastic mindset, fast learning capabilities + answer of What are your expectations from the employees","Involving students with some hands on projects, teaching them SW best practices etc","Focus on QUALITY work, SUSTAINABLE development","Our own resources on tech stacks, workflow etc;  Online training/course resources paid by the company;  grooming session for newly recruited employees, bringing industry experts to office premises time to time"
2019/03/22 2:52:35 PM GMT+6,Male,15,,less than 2,Developer,Pair Programming,Plain Text,Requirement Analysis,Desktop,Windows,C/C++;JavaScript;PHP,,Visual Studio,,4,JenKins,Bamboo,BitBucket,yes,No,quality,upgrade,upgrade,they will enjoy this work,,many talented young propel.. who love programming,support,selfstudy...
2019/04/13 5:09:04 PM GMT+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
